Type,Instruction,Scenario,address
Simple,"Place the mug and bowl neatly on the desk, ensuring they are aligned.",bedroom,FloorPlan301_001
Medium,"Pick up the pen and pencil, then place them inside the tissue box on the shelf.",bedroom,FloorPlan301_001
Complex,"Retrieve the CD from the desk, open the shelf compartment, insert the CD into the shelf, and close the compartment securely.",bedroom,FloorPlan301_001
Simple,Pick up the cell phone from the bed and place it on the nightstand,bedroom,FloorPlan301_002
Medium,Move the laptop from the bed to the desk and turn it on,bedroom,FloorPlan301_002
Complex,"Gather the book and cell phone from the bed, place them neatly on the dresser, and then make the bed by pulling the sheets tight",bedroom,FloorPlan301_002
Simple,Pick up the boots from the floor and place them neatly beside the dresser,bedroom,FloorPlan301_003
Medium,Turn on the desk lamp and adjust its position so it illuminates the dresser better,bedroom,FloorPlan301_003
Complex,"Move the golden statue to the top drawer, open the drawer, place the statue inside, and close the drawer",bedroom,FloorPlan301_003
Simple,Pick up the basketball from the floor and place it in the corner near the door.,bedroom,FloorPlan301_004
Medium,"Retrieve the cell phone from the bed, charge it using the charger on the nightstand, and return it to the bed.",bedroom,FloorPlan301_004
Complex,"Move the dog bed slightly closer to the window, pick up the basketball, and place it inside the dog bed for the pet to play with.",bedroom,FloorPlan301_004
Simple,Move to the cardboard box and place it next to the trash bin,bedroom,FloorPlan301_005
Medium,"Open the cabinet door, retrieve the bowl, and place it on the countertop",bedroom,FloorPlan301_005
Complex,"Pick up the broom from the corner, sweep the floor near the door, and place the broom back against the wall",bedroom,FloorPlan301_005
Simple,Pick up the keychain from the desk and place it in the drawer under the desk,bedroom,FloorPlan302_001
Medium,Move the laptop to the left side of the desk and organize the pens and pencil into a neat row,bedroom,FloorPlan302_001
Complex,"Retrieve the book from the floor, open it to the first page, and place it upright on the desk beside the laptop",bedroom,FloorPlan302_001
Simple,Pick up the teddy bear from the bed and place it on the side table,bedroom,FloorPlan302_002
Medium,"Open the drawer, retrieve the alarm clock, and set it on the bedside table",bedroom,FloorPlan302_002
Complex,"Remove the pillow from the bed, fold it neatly, and place it on the side table next to the teddy bear",bedroom,FloorPlan302_002
Simple,Turn on the desk lamp and then turn it off,bedroom,FloorPlan302_003
Medium,"Open the drawer, place the garbage can inside it, and close the drawer",bedroom,FloorPlan302_003
Complex,"Pick up the desk lamp, move it to the side table, and place it there while ensuring the light switch is turned on",bedroom,FloorPlan302_003
Simple,Pick up the pen from the desk and place it in the drawer of the desk.,bedroom,FloorPlan302_004
Medium,Retrieve the tennis racket leaning against the wall and hang it on the hook near the door.,bedroom,FloorPlan302_004
Complex,"Open the cabinet above the desk, place the laptop inside, close the cabinet, then move the chair closer to the desk.",bedroom,FloorPlan302_004
Simple,Place the purple pillow neatly on the bed,bedroom,FloorPlan302_005
Medium,Move the teddy bear from the floor to the desk and arrange it beside the laptop,bedroom,FloorPlan302_005
Complex,"Retrieve the alarm clock from the bedside table, set it to 7:00 AM, and place it back securely",bedroom,FloorPlan302_005
Simple,Place the CD from the side table into the shelf unit,bedroom,FloorPlan303_001
Medium,Retrieve the yellow plate from the shelf and place it on the side table,bedroom,FloorPlan303_001
Complex,"Open the drawer, remove the vase, place it on the shelf, then close the drawer",bedroom,FloorPlan303_001
Simple,Place the cloth inside the open box on the floor,bedroom,FloorPlan303_002
Medium,Move the tennis racket from the floor to the shelf and arrange it neatly,bedroom,FloorPlan303_002
Complex,"Pick up the garbage bag, move it to the garbage can, and place it inside for disposal",bedroom,FloorPlan303_002
Simple,Pick up the pen and pencil from the desk and place them in the drawer.,bedroom,FloorPlan303_003
Medium,"Turn on the desk lamp, then pick up the mug and place it on the side table next to the bed.",bedroom,FloorPlan303_003
Complex,"Open the drawer, retrieve the credit card, place it back in the drawer, then close the drawer and turn off the desk lamp.",bedroom,FloorPlan303_003
Simple,Pick up the credit card from the nightstand and place it on the bed.,bedroom,FloorPlan303_004
Medium,"Open the drawer, take out the pillow, and place it neatly at the head of the bed.",bedroom,FloorPlan303_004
Complex,"Retrieve the alarm clock from the side table, set it to 7:00 AM, and place it back on the nightstand beside the bed.",bedroom,FloorPlan303_004
Simple,Pick up the book from the side table and place it on the top shelf of the shelving unit,bedroom,FloorPlan303_005
Medium,"Retrieve the CD from the side table, insert it into the CD player on the shelf, and play it",bedroom,FloorPlan303_005
Complex,"Open the drawer beneath the side table, remove the cell phone, charge it using the power outlet near the bed, then return it to the drawer and close it",bedroom,FloorPlan303_005
Simple,Make the bed by pulling the blanket and adjusting the pillow,bedroom,FloorPlan303_006
Medium,"Pick up the mug from the desk, fill it with water from the sink, and place it back on the desk",bedroom,FloorPlan303_006
Complex,"Turn on the lamp, organize the papers on the bulletin board, and move the chair closer to the desk",bedroom,FloorPlan303_006
Simple,Pick up the red ball from the floor and place it in the basket near the bed,bedroom,FloorPlan304_001
Medium,"Open the drawer of the wooden dresser, retrieve the folded clothes, and neatly arrange them on the bed",bedroom,FloorPlan304_001
Complex,"Retrieve the book from the top bunk of the bunk bed, bring it to the desk, open it, and place a bookmark inside before returning it to the shelf",bedroom,FloorPlan304_001
Simple,Place the red pillow from the lower bunk onto the upper bunk,bedroom,FloorPlan304_002
Medium,Move the small trash can next to the bed and empty it into the larger bin in the corner,bedroom,FloorPlan304_002
Complex,"Retrieve the toy from the dresser, place it on the upper bunk, then adjust the blanket to cover it neatly",bedroom,FloorPlan304_002
Simple,Move the chair closer to the desk and adjust its position for better seating alignment,bedroom,FloorPlan304_003
Medium,Pick up the box from the floor and place it neatly under the desk to clear the space,bedroom,FloorPlan304_003
Complex,"Retrieve the box, open it if possible, and check its contents before placing it on the desk for inspection",bedroom,FloorPlan304_003
Simple,Pick up the pen and place it in the drawer under the desk,bedroom,FloorPlan304_004
Medium,"Open the laptop, then pick up the mug and place it on the shelf above the desk",bedroom,FloorPlan304_004
Complex,"Retrieve the book from the desk, open the drawer, place the book inside, close the drawer, and then use the phone to take a photo of the clock",bedroom,FloorPlan304_004
Simple,Open the laundry hamper and place the clothes inside it,bedroom,FloorPlan305_001
Medium,Move the laundry hamper to a corner of the room and close its lid,bedroom,FloorPlan305_001
Complex,"Retrieve the clothes from the floor, place them in the laundry hamper, and then move the hamper near the door for collection",bedroom,FloorPlan305_001
Simple,Pick up the credit card from the desk and place it in the drawer,bedroom,FloorPlan305_002
Medium,"Open the drawer, remove the books from the shelf, and organize them neatly on the desk",bedroom,FloorPlan305_002
Complex,"Turn on the laptop, pick up the bowl, place it on the shelf, then close the drawer and move the keychain to the top of the desk",bedroom,FloorPlan305_002
Simple,Pick up the baseball bat and place it against the wall near the bed,bedroom,FloorPlan305_003
Medium,Retrieve the baseball from the floor and place it inside the open box next to the dresser,bedroom,FloorPlan305_003
Complex,"Move the lamp on the dresser to a new position on the nightstand, then adjust the bed cover to be neatly aligned",bedroom,FloorPlan305_003
Simple,Make the bed by pulling up the blue blanket and adjusting the pillow.,bedroom,FloorPlan305_004
Medium,"Move to the desk, pick up the laptop, and place it on the bed for charging.",bedroom,FloorPlan305_004
Complex,"Pick up the camera from the desk, walk to the wall, and place it on a shelf if available, then adjust the lamp hanging near the bed.",bedroom,FloorPlan305_004
Simple,Place the blue pillow neatly at the head of the bed,bedroom,FloorPlan306_001
Medium,Retrieve the teddy bear from the floor and place it on the bed near the window,bedroom,FloorPlan306_001
Complex,"Adjust the bed sheets to ensure they are properly spread, then position the pillow and teddy bear in an organized and cozy arrangement",bedroom,FloorPlan306_001
Simple,Pick up the pen from the desk and place it in the drawer.,bedroom,FloorPlan306_002
Medium,"Turn on the desk lamp, then pick up the book and place it on the chair beside the desk.",bedroom,FloorPlan306_002
Complex,"Open the top drawer, retrieve the keychain, place it on the desk, then close the drawer and turn off the lamp.",bedroom,FloorPlan306_002
Simple,Pick up the teddy bear from the bed and place it on the nightstand,bedroom,FloorPlan306_003
Medium,Move the pillow to the head of the bed and adjust the blanket neatly,bedroom,FloorPlan306_003
Complex,"Retrieve the blue pillow from the bed, place it on the floor near the door, then pick up the teddy bear and put it back on the bed in a sitting position",bedroom,FloorPlan306_003
Simple,Pick up the pen from the desk and place it in the drawer,bedroom,FloorPlan306_004
Medium,"Retrieve the cell phone from the desk, charge it using the laptop's USB port, and return it to the desk",bedroom,FloorPlan306_004
Complex,"Open the drawer, remove the pencil, use it to write a note on a piece of paper found under the bed, then place the paper on the desk",bedroom,FloorPlan306_004
Simple,Pick up the book from the desk and place it on the shelf,bedroom,FloorPlan307_001
Medium,Move the laptop to the left side of the desk and place the bowl next to it,bedroom,FloorPlan307_001
Complex,"Turn on the desk lamp, pick up the pen and pencil, and place them in the cup holder on the desk",bedroom,FloorPlan307_001
Simple,Pick up the cloth from the floor and place it on the side table,bedroom,FloorPlan307_002
Medium,Collect both cloths from the floor and put them into the garbage can,bedroom,FloorPlan307_002
Complex,"Move the alarm clock to the side table, then open the CD case and place the CD inside the garbage can",bedroom,FloorPlan307_002
Simple,Pick up the bucket from the floor and place it beside the bed.,bedroom,FloorPlan307_003
Medium,Retrieve the tennis racket from the corner and place it under the bed for storage.,bedroom,FloorPlan307_003
Complex,"Move the bucket to the center of the room, then pick up the tennis racket and place it inside the bucket before moving both items to the far side of the bed.",bedroom,FloorPlan307_003
Simple,Place the credit card on the desk and organize the items on the shelf,bedroom,FloorPlan307_004
Medium,Retrieve the keychain from the desk and hang it on the door handle,bedroom,FloorPlan307_004
Complex,"Open the drawer, remove the notebook, place it on the shelf, and then close the drawer",bedroom,FloorPlan307_004
Simple,Pick up the pen and place it inside the pencil holder on the desk,bedroom,FloorPlan308_001
Medium,"Open the book on the desk, flip through its pages, and then close it neatly",bedroom,FloorPlan308_001
Complex,"Take the cell phone from the desk, place it in the bowl, then move the bowl to the window sill for charging",bedroom,FloorPlan308_001
Simple,Pick up the basketball from the floor and place it under the bed.,bedroom,FloorPlan308_002
Medium,Tidy the bed by straightening the red checkered blanket and adjusting the pillow.,bedroom,FloorPlan308_002
Complex,"Retrieve the candle from the bedside, place it on the nightstand, then turn on the lamp to illuminate the room.",bedroom,FloorPlan308_002
Simple,Pick up the mug from the desk and place it on the shelf above the desk,bedroom,FloorPlan308_003
Medium,"Open the drawer under the desk, retrieve the credit card, and place it in the laptop's card reader slot",bedroom,FloorPlan308_003
Complex,"Turn on the desk lamp, open the top drawer, take out a book from the shelf, place it on the desk, and then close the drawer",bedroom,FloorPlan308_003
Simple,Open the safe and retrieve the item inside,bedroom,FloorPlan308_004
Medium,Move the bucket to the corner of the room and place it beside the safe,bedroom,FloorPlan308_004
Complex,"Use the mirror to check the room's layout, then open the safe, take out the object, and place it on the floor near the bucket",bedroom,FloorPlan308_004
Simple,Place the laundry hamper next to the bed and tidy up the room,bedroom,FloorPlan308_005
Medium,Pick up the pillow from the bed and place it neatly at the head of the bed,bedroom,FloorPlan308_005
Complex,Fold the red plaid blanket on the bed and arrange it evenly across the mattress,bedroom,FloorPlan308_005
Simple,Pick up the teddy bear from the floor and place it on the bed.,bedroom,FloorPlan309_001
Medium,Retrieve the cell phone from the bed and charge it using the lamp's power outlet if available.,bedroom,FloorPlan309_001
Complex,"Move the teddy bear to the foot of the bed, adjust the pillows for comfort, and ensure the bed is neatly arranged.",bedroom,FloorPlan309_001
Simple,Open the drawer and place the notebook inside,bedroom,FloorPlan309_002
Medium,Move the chair closer to the desk and adjust its position for comfortable seating,bedroom,FloorPlan309_002
Complex,"Retrieve the laptop from the desk, open it, and then place it back on the desk with the screen facing upward",bedroom,FloorPlan309_002
Simple,Arrange the three armchairs in a straight line facing the mirror,bedroom,FloorPlan309_003
Medium,Move the leftmost armchair closer to the center chair and rotate it to face the mirror,bedroom,FloorPlan309_003
Complex,"Reposition all three armchairs into a semi-circle formation centered around the mirror, ensuring equal spacing between each",bedroom,FloorPlan309_003
Simple,Pick up the keychain from the side table and place it on the bed.,bedroom,FloorPlan309_004
Medium,"Turn on the desk lamp, then move the alarm clock to the laundry hamper and close the hamper lid.",bedroom,FloorPlan309_004
Complex,"Retrieve the mug from the side table, fill it with water from the nearby sink (if accessible), and place it back on the side table next to the lamp.",bedroom,FloorPlan309_004
Simple,Organize the desk by placing the pen and pencil into the drawer of the cabinet,bedroom,FloorPlan310_001
Medium,"Retrieve the book from the desk, open the cabinet, and place the book inside the shelf compartment",bedroom,FloorPlan310_001
Complex,"Pick up the laptop, move it to the center of the desk, then open it and turn it on to check for any notifications",bedroom,FloorPlan310_001
Simple,Pick up the keychain from the nightstand and place it on the bed,bedroom,FloorPlan310_002
Medium,"Open the drawer, retrieve the hidden item, and place it on the side table",bedroom,FloorPlan310_002
Complex,"Turn on the alarm clock, pick up the pillow, move to the center of the room, and place the pillow neatly at the head of the bed",bedroom,FloorPlan310_002
Simple,Pick up the baseball bat and place it against the wall near the bed,bedroom,FloorPlan310_003
Medium,Retrieve the basketball from the floor and place it in the corner beside the tennis racket,bedroom,FloorPlan310_003
Complex,"Pick up the tennis racket, move to the center of the room, and use it to gently push the basketball toward the bed",bedroom,FloorPlan310_003
Simple,Move to the desk and place the laptop on the table,bedroom,FloorPlan310_004
Medium,Pick up the baseball bat from the floor and place it in the closet,bedroom,FloorPlan310_004
Complex,"Retrieve the book from the shelf, open it, read a page, then close it and return it to the shelf",bedroom,FloorPlan310_004
Simple,Pick up the remote control from the dresser and place it on the armchair,bedroom,FloorPlan311_001
Medium,"Turn on the desk lamp, then pick up the alarm clock and set it on the side table next to the lamp",bedroom,FloorPlan311_001
Complex,"Open the drawer, retrieve the remote control if not already taken, place it on the side table, and turn off the desk lamp after ensuring the room is properly lit",bedroom,FloorPlan311_001
Simple,Pick up the book from the desk and place it on the bookshelf in the corner.,bedroom,FloorPlan311_002
Medium,"Gather all pens and pencils from the desk, place them in the drawer of the desk, then turn on the desk lamp.",bedroom,FloorPlan311_002
Complex,"Retrieve the credit card and keychain from the desk, place them in the laptop bag on the chair, then close the laptop and move it to the side table.",bedroom,FloorPlan311_002
Simple,"Move to the counter and pick up the cup, then place it on the table in the adjacent room.",bedroom,FloorPlan311_003
Medium,"Open the cabinet under the counter, retrieve the bottle, and pour its contents into the glass on the countertop.",bedroom,FloorPlan311_003
Complex,"Retrieve the bread from the kitchen area, slice it using the knife on the counter, heat it in the microwave, and place the toasted bread onto a plate on the dining table.",bedroom,FloorPlan311_003
Simple,Move to the bed and adjust the pillows to make it neat,bedroom,FloorPlan311_004
Medium,Retrieve the remote from the dresser and turn on the TV,bedroom,FloorPlan311_004
Complex,"Pick up the lamp from the side table, place it on the dresser, and then turn on the ceiling light",bedroom,FloorPlan311_004
Simple,Turn on the lamp on the left side of the table and adjust the chair position for better seating alignment,bedroom,FloorPlan311_005
Medium,Move the laptop from the desk to the TV stand and turn on the monitor,bedroom,FloorPlan311_005
Complex,"Retrieve the remote control from the TV stand, place it on the armchair, then turn on both lamps in the room and open the drawer under the TV stand to store a small object",bedroom,FloorPlan311_005
Simple,Pick up the pen from the desk and place it in the top shelf compartment,bedroom,FloorPlan312_001
Medium,Collect the keychain and credit card from the floor and put them inside the drawer of the desk,bedroom,FloorPlan312_001
Complex,"Retrieve the book from the bottom shelf, open it on the desk, and use the pencil to mark a note on the first page before placing it back on the shelf",bedroom,FloorPlan312_001
Simple,Move the red pillow to the head of the bed and adjust the blue blanket neatly.,bedroom,FloorPlan312_002
Medium,"Pick up the laptop from the bed, place it on the side table, and close the laptop lid.",bedroom,FloorPlan312_002
Complex,"Open the drawer, retrieve a book if present, place it on the bed beside the laptop, then fold the blanket over the book and pillow.",bedroom,FloorPlan312_002
Simple,Pick up the laptop from the bed and place it on the desk,bedroom,FloorPlan312_003
Medium,Retrieve the dumbbells from the floor and place them neatly on the shelf,bedroom,FloorPlan312_003
Complex,"Open the drawer, take out the notebook, place it on the desk, then close the drawer and turn on the lamp",bedroom,FloorPlan312_003
Simple,Move to the desk and organize the papers into a neat stack,bedroom,FloorPlan312_004
Medium,"Pick up the book from the desk, place it on the top shelf of the bookshelf, then close the drawer under the desk",bedroom,FloorPlan312_004
Complex,"Retrieve the laptop from the desk, carry it to the chair, open it, and then move it back to the desk while ensuring all cables are properly connected",bedroom,FloorPlan312_004
Simple,Move the alarm clock from the side table to the top of the shelving unit,bedroom,FloorPlan313_001
Medium,Rearrange the books on the shelf by placing the red book in the second row and the blue book in the first row,bedroom,FloorPlan313_001
Complex,"Pick up the houseplant from the top of the shelving unit, place it on the floor beside the chair, then return it to its original position",bedroom,FloorPlan313_001
Simple,Pick up the mug from the desk and place it on the shelf,bedroom,FloorPlan313_002
Medium,"Open the drawer, retrieve the pen, and place it in the tissue box on the desk",bedroom,FloorPlan313_002
Complex,"Turn on the desk lamp, pick up the book, open it, and place it on the chair next to the desk",bedroom,FloorPlan313_002
Simple,Tuck the blanket neatly around the bed and place the teddy bear on the pillow,bedroom,FloorPlan313_003
Medium,Pick up the tennis racket from the floor and place it in a corner near the wall,bedroom,FloorPlan313_003
Complex,"Fold the blanket properly, adjust the pillow, and position the teddy bear sitting upright on the bed",bedroom,FloorPlan313_003
Simple,Close the blinds on the window to block out the light,bedroom,FloorPlan313_004
Medium,Pick up the keychain from the desk and place it in the drawer,bedroom,FloorPlan313_004
Complex,"Open the drawer, retrieve the CD from inside, place it on the desk, then close the drawer",bedroom,FloorPlan313_004
Simple,Make the bed by pulling up the blanket and smoothing it out,bedroom,FloorPlan314_001
Medium,Retrieve the pillow from the floor and place it neatly on the bed,bedroom,FloorPlan314_001
Complex,"Move to the door, open it, pick up the trash can from the corner, and return it to the bedside table",bedroom,FloorPlan314_001
Simple,Pick up the credit card from the desk and place it in the drawer,bedroom,FloorPlan314_002
Medium,"Turn on the laptop, then pick up the cell phone and place it on the chair",bedroom,FloorPlan314_002
Complex,"Open the drawer, retrieve the CD, insert it into the laptop, and close the drawer",bedroom,FloorPlan314_002
Simple,Open the drawer under the desk and place the laptop inside,bedroom,FloorPlan314_003
Medium,Move the chair closer to the desk and adjust its position for better seating,bedroom,FloorPlan314_003
Complex,"Retrieve a notebook from the side table, open the top drawer of the desk, place the notebook inside, then close the drawer",bedroom,FloorPlan314_003
Simple,Pick up the book from the table and place it on the top drawer.,bedroom,FloorPlan314_004
Medium,"Open the drawer, place the keychain inside, and close the drawer.",bedroom,FloorPlan314_004
Complex,"Retrieve the alarm clock from the table, move it to the floor, and set it down beside the box.",bedroom,FloorPlan314_004
Simple,Place the pen and pencil into the mug on the desk,bedroom,FloorPlan315_001
Medium,Turn on the desk lamp and organize the items on the desk by placing the credit card and keychain in the drawer,bedroom,FloorPlan315_001
Complex,"Pick up the laptop, move it to the center of the desk, open it, then turn on the desk lamp and place the mug beside the laptop",bedroom,FloorPlan315_001
Simple,Move the teddy bear from the floor to the bed and place it near the pillow,bedroom,FloorPlan315_002
Medium,Retrieve the clock from the dresser and set it on the nightstand beside the bed,bedroom,FloorPlan315_002
Complex,"Fold the bedsheet neatly, adjust the pillow position, and place the teddy bear in a sitting pose on the bed",bedroom,FloorPlan315_002
Simple,Pick up the mug from the desk and place it in the cabinet.,bedroom,FloorPlan315_003
Medium,"Turn on the lamp, then pick up the laptop and place it on the dresser.",bedroom,FloorPlan315_003
Complex,"Move the bowl from the desk to the cabinet, open the drawer under the desk, and place the pen inside before closing the drawer.",bedroom,FloorPlan315_003
Simple,Tidy the bed by straightening the yellow blanket and adjusting the pillow.,bedroom,FloorPlan315_004
Medium,Pick up the stuffed animal from the bed and place it on the dresser.,bedroom,FloorPlan315_004
Complex,"Retrieve the camera from the dresser, place it on the bed, then adjust the lighting by turning on the ceiling light.",bedroom,FloorPlan315_004
Simple,Move the chair closer to the desk and adjust its position for better ergonomics,bedroom,FloorPlan316_001
Medium,"Pick up the laptop from the desk, place it on the bed, and then turn off the monitor",bedroom,FloorPlan316_001
